target,id,date,flag,user,text
4,1994909942,Mon Jun 01 12:39:03 PDT 2009,NO_QUERY,dufferslash4eva,@duff64    Hope Finland is treating you nicely. If you are there yet.   Have a wonderful European tour  
4,2009586881,Tue Jun 02 15:56:40 PDT 2009,NO_QUERY,MeganL739,"Just registered with the embassy in Quito! Look out, Ecuador! "
0,2065879917,Sun Jun 07 09:28:19 PDT 2009,NO_QUERY,jordans1grl,Danny took pics with kate &amp; em! Mel &amp; i stayed behind @ buses 
0,1468623578,Tue Apr 07 02:47:45 PDT 2009,NO_QUERY,tiedyeina,"if you have a computer which isn't doing much (or a CPU core not doing much, if you're technical), get in touch? I need processing power "
4,2175200161,Mon Jun 15 00:20:40 PDT 2009,NO_QUERY,NathanaelB,@SindySpyder Twitter doesn't listen to subbies 
0,1558616359,Sun Apr 19 08:54:44 PDT 2009,NO_QUERY,jfer76,Is LJ acting up for anyone else right now?  I can't get on to post.  
0,2302372702,Tue Jun 23 16:42:59 PDT 2009,NO_QUERY,kishaweisha,@Destini41 I want one!! I want one!  have one for me i'm at work 
4,2189110825,Mon Jun 15 23:15:57 PDT 2009,NO_QUERY,chloemcfly18,@mcflymusic that's so coool  my friend was there yesterday.. She's so lucky!
0,1978831092,Sun May 31 00:37:04 PDT 2009,NO_QUERY,ninghil,"@soooperpenny Yeah, kind of. It's just that I have nothing to wear and the driver's not here but I rly wanna see Sassa's genius creations "
4,1687127407,Sun May 03 07:50:47 PDT 2009,NO_QUERY,MuNkYzBoo12406,"Heading to work, fun fun.. I love my job though... how many people can honestly say that huh? "
0,2205052970,Wed Jun 17 03:50:07 PDT 2009,NO_QUERY,nesarajah,@thechannelc I've been waiting the whole day 
4,1978513865,Sat May 30 23:35:41 PDT 2009,NO_QUERY,nuyiqu,@MARVNCASH haha. aright. i will. 
4,2182555134,Mon Jun 15 13:19:39 PDT 2009,NO_QUERY,tweeteradder2,@nereidaronaldo Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
4,1979288951,Sun May 31 02:24:36 PDT 2009,NO_QUERY,antonette07,"listening to Jack Johnson. aaah, sometimes rainy days just feel so relaxing "
0,2235055040,Fri Jun 19 00:19:37 PDT 2009,NO_QUERY,jo_colvin,"Morning world, still feel like poo! But going back to work today "
4,2069045401,Sun Jun 07 15:09:47 PDT 2009,NO_QUERY,chelseagirl,The Melting Pot + Jersey Boys + the boy I love = a really great six months present 
0,1823508956,Sat May 16 22:09:45 PDT 2009,NO_QUERY,fadedskyy,misses those nights i shared with you. i'm going to sleep so i can stop thinking about stuff and looking at pictures  good night.
